zip_code,infection_score
68130,Not Available
68114,Not Available
68123,Not Available
68122,Not Available
68845,Not Available
89502,6
89109,0
89030,0
89406,Not Available
89102,0
89801,Not Available
89503,6
89015,Not Available
89703,0
89106,4
89119,0
89434,Not Available
89128,4
89144,0
89052,10
89118,10
89148,10
89521,Not Available
89113,10
89149,0
3301,0
3756,2
3246,10
3060,10
3103,0
3867,Not Available
3038,Not Available
3820,0
3431,Not Available
3060,0
3833,Not Available
3801,2
3102,5
7601,0
7112,1
7047,5
8822,0
7055,3
7666,4
7109,0
8536,4
8210,0
7450,1
8103,0
7962,2
7306,6
7444,4
7503,4
8629,4
8053,6
7065,0
7002,4
7207,0
7860,0
8103,4
8015,Not Available
8360,0
7701,6
8901,1
8861,4
7030,10
8755,3
8534,10
7631,0
8244,7
8876,0
7834,10
7902,3
8724,6
7042,4
8060,1
7652,2
8865,10
8046,0
8401,6
8318,Not Available
8901,1
7754,0
7302,0
7740,5
7039,3
8096,5
7018,1
8701,6
8084,1
8079,Not Available
8638,2
7102,8
8818,0
8690,0
7728,0
7733,0
8052,0
7840,Not Available
7094,Not Available
7103,5
7675,Not Available
87106,7
87505,0
87701,Not Available
88310,Not Available
87401,10
88201,Not Available
87102,0
87532,Not Available
87571,Not Available
88061,Not Available
87109,0
88011,2
87106,2
88210,Not Available
87544,Not Available
87301,Not Available
87301,Not Available
88220,Not Available
88240,Not Available
87114,Not Available
88011,10
88201,Not Available
87144,Not Available
12204,Not Available
12401,0
14210,0
10701,0
14569,Not Available
10457,0
13905,4
12208,1
11418,0
11229,10
12601,6
10029,0
11554,0
10310,0
14513,10
13815,Not Available
11706,0
13503,0
11743,1
10019,7
12010,10
12572,Not Available
11355,3
11201,4
12208,4
14456,Not Available
10467,0
10708,6
14302,0
14020,Not Available
14424,10
14214,0
12983,Not Available
10451,1
12953,Not Available
13820,Not Available
10550,Not Available
11944,Not Available
14905,0
12534,0
14895,Not Available
10021,3
14217,10
14760,0
10960,10
11590,2
11901,0
14141,Not Available
13421,Not Available
10021,5
14621,7
10940,0
10461,7
11373,0
14081,Not Available
12771,Not Available
13326,10
13203,0
11772,0
14810,Not Available
14843,Not Available
12308,10
13601,0
10901,5
10305,0
10549,5
14094,0
14620,0
11501,0
10003,0
13045,Not Available
12180,10
11542,Not Available
11576,6
10802,0
11777,0
14092,7
12801,5
11355,0
11219,1
11040,2
11235,0
13676,Not Available
11572,2
10029,0
11203,0
11203,4
13210,0
10016,0
10990,Not Available
10701,0
13669,Not Available
10016,0
13440,Not Available
13069,Not Available
14215,0
11237,0
13662,Not Available
12401,Not Available
14626,0
14048,Not Available
11432,0
12180,Not Available
11212,4
10595,2
13021,1
11215,0
14437,Not Available
14701,Not Available
10037,10
13210,0
13501,0
11777,0
12901,2
11571,3
10591,0
12550,7
14432,Not Available
10567,0
12043,Not Available
10021,10
10512,0
12078,Not Available
14830,Not Available
14220,5
